method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_lengthscale,kernel_lengthscale_y,kernel_angle_degrees
exact clipped,0.09666178080133359,0.2351947844922009,1302.3172913701162,886.69245389067,415.6248374794462,0.36206896551724155,-0.1206896551724137,886.69245389067,9.08471663291297,868.8864092901606,904.4984984911794,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,0,1.75,0.9,0.0
discard saturated,0.058531205321387496,0.13812882113384814,1302.3172913701162,1044.242478116656,258.0748132534602,0.36206896551724155,-0.1206896551724137,1044.242478116656,20.821921481498084,1003.4315120129197,1085.0534442203923,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,0,1.75,0.9,0.0
censored Laplace,0.058509386698664116,0.13807136132337733,1302.3172913701162,1044.3260160954458,257.99127527467044,0.36206896551724155,-0.1206896551724137,1044.3260160954458,20.75429774741658,1003.6475925105093,1085.0044396803823,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,0,1.75,0.9,0.0
censored sampled,0.058279521577163415,0.1374146835832535,1302.3172913701162,1044.8550549180095,257.4622364521067,0.36206896551724155,-0.1206896551724137,1044.8550549180095,20.92931173211635,1004.8054241773943,1086.5642262339372,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,0,1.75,0.9,0.0
oracle true,0.020316090082124778,0.033587466453411347,1302.3172913701162,1222.6069710627312,79.71032030738502,0.36206896551724155,-0.1206896551724137,1222.6069710627312,9.08471663291297,1204.8009264622217,1240.4130156632407,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,0,1.75,0.9,0.0
exact clipped,0.10587521320008532,0.25461677096112684,1302.3172913701162,837.2310441794115,465.08624719070474,0.36206896551724155,-0.1206896551724137,780.3986303544401,22.75300564775162,735.8027392848469,824.9945214240333,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,0,0.75,0.48,0.0
discard saturated,0.049858262954311255,0.09850603740621974,1302.3172913701162,1110.2717907922856,192.04550057783058,0.36206896551724155,-0.1206896551724137,1108.5017895579954,228.8134487809839,660.0274299472669,1556.9761491687239,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,0,0.75,0.48,0.0
censored Laplace,0.049853936548912306,0.09849232876175745,1302.3172913701162,1110.2933254999577,192.02396587015846,0.36206896551724155,-0.1206896551724137,1108.518714935531,228.51592619869822,660.6274995860826,1556.4099302849795,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,0,0.75,0.48,0.0
censored sampled,0.03548083889349072,0.04315011170071138,1302.3172913701162,1218.8941987744672,83.423092595649,0.36206896551724155,-0.1206896551724137,1217.6267471047693,183.96498117510387,924.9601591735526,1608.4722043052418,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,0,0.75,0.48,0.0
oracle true,0.0005216724313355512,0.0009326150203460863,1302.3172913701162,1300.4120070590438,1.9052843110723643,0.36206896551724155,-0.1206896551724137,1300.4120070590438,22.75300564775162,1255.8161159894507,1345.007898128637,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,0,0.75,0.48,0.0
