shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,1,1.0,0.28,-55.0,1745.7969606012407,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,-35.0,1745.943866286199,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,-15.0,1696.5232400009004,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,0.0,1634.2529552704796,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,15.0,1696.137696576392,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,35.0,1746.4508003984174,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.28,55.0,1747.9026103321544,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,-55.0,1628.5368036921955,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,-35.0,1627.677811599698,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,-15.0,1615.2413397451337,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,0.0,1601.6732349521876,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,15.0,1614.3571581857477,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,35.0,1629.8320916174362,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.42,55.0,1631.3662000040772,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,-55.0,1523.5245873093404,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,-35.0,1523.2894479188622,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,-15.0,1523.6218345185857,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,0.0,1523.9842570626802,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,15.0,1524.5412750105302,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,35.0,1523.8199629972728,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.65,55.0,1523.616394412114,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.9,-55.0,1466.1181332971028,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.9,-35.0,1465.5857719310752,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.9,-15.0,1465.1289324027643,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.9,0.0,1464.8678363805539,anisotropic_tuned
