trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1684,0.001749999999999998,0.0017499999999999998,294.6560504149699,297.95682338081525,295.9934029928945,0.5713841781598058,295.0183207650882,297.0819202490108,3.30077296584534,1.3373525779246052,-1.9634203879207348,1.9634203879207348,3.4362526352131537,False,True,True,0.9944444444444445,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1730,-0.002000000000000001,0.002,294.6560504149699,295.6931461343106,296.06291038171213,0.8609108247541707,294.50271196730023,297.2336982801043,1.037095719340698,1.4068599667422177,0.3697642474015197,0.3697642474015197,0.4295035406333801,True,True,True,0.95,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1731,-0.0017500000000000007,0.002,294.6560504149699,296.76661682213995,295.9926934043528,0.8766365170522693,294.65942073087115,297.49182352831144,2.1105664071700403,1.3366429893828808,-0.7739234177871595,0.7739234177871595,0.8828327393769912,True,True,True,0.9722222222222222,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1732,-0.0015000000000000013,0.002,294.6560504149699,297.1013810951702,295.99470868574537,0.671508076257601,294.9668350036678,297.15713782953134,2.4453306802003,1.3386582707754542,-1.1066724094248457,1.1066724094248457,1.6480403565545634,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1733,-0.0012500000000000011,0.002,294.6560504149699,296.9925361355082,296.0644655119783,0.5760702183640174,295.07021029212615,297.126769898156,2.336485720538292,1.408415097008401,-0.9280706235298908,0.9280706235298908,1.6110373248690408,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1734,-0.0010000000000000009,0.002,294.6560504149699,296.90470941469096,296.17521517584623,0.4212759178153758,295.4696771991764,296.9952288051714,2.2486589997210444,1.519164760876322,-0.7294942388447225,0.7294942388447225,1.7316305252569015,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1735,-0.0007500000000000007,0.002,294.6560504149699,297.0105974727856,296.47520598631945,0.42373410277968127,295.5728575652115,297.2002207689029,2.3545470578156937,1.8191555713495404,-0.5353914864661533,0.5353914864661533,1.2635081362439402,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1736,-0.0005000000000000013,0.002,294.6560504149699,297.2946866677711,296.03275755593125,0.30658216525518706,295.51025898751647,296.61073110354874,2.6386362528011773,1.3767071409613436,-1.2619291118398337,1.2619291118398337,4.116120423343782,False,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1737,-0.0002500000000000011,0.002,294.6560504149699,297.7167950057641,295.3724655314291,0.45088280679307263,294.5949299421836,296.36492634981994,3.0607445907941724,0.7164151164591885,-2.344329474334984,2.344329474334984,5.199420867274024,False,True,True,0.9555555555555556,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1738,-8.673617379884035e-19,0.002,294.6560504149699,298.2760828952101,295.4099840033515,0.4468373841202896,294.6813881551942,296.3026235402633,3.6200324802401838,0.7539335883815852,-2.8660988918585986,2.8660988918585986,6.414187786684917,False,True,True,0.9722222222222222,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1739,0.0002499999999999985,0.002,294.6560504149699,299.002951665969,296.002949260174,0.5327582186487057,295.12301176083,296.89921369709975,4.34690125099911,1.3468988452040662,-3.000002405795044,3.000002405795044,5.631076726332418,False,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1740,0.0004999999999999987,0.002,294.6560504149699,299.9773900111153,296.167819579251,0.5872608835511576,295.1557241748689,297.34492497794895,5.321339596145378,1.5117691642810769,-3.8095704318643016,3.8095704318643016,6.487015462068387,False,True,True,1.0,5-10 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1741,0.0007499999999999989,0.002,294.6560504149699,301.3441065134204,295.9396848570422,0.37491302462815757,295.2221719031642,296.5814898173572,6.688056098450488,1.283634442072298,-5.40442165637819,5.40442165637819,14.415134448151939,False,True,True,0.9944444444444445,5-10 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1742,0.0009999999999999992,0.002,294.6560504149699,303.4124407198037,295.7274110387712,0.3259035169934425,295.0245767391828,296.3171846012048,8.756390304833815,1.0713606238012972,-7.685029681032518,7.685029681032518,23.58068962228213,False,True,True,1.0,5-10 K
