n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,stage,region
25,10.91087742594442,5.81252552270505,-5.673234180019649,0.9435671256686038,0.44,3.5149243392868037,1.0,0.0,9.082076730362811,18.005030009065653,9.165790464466014,3.0582798249655636,0.64,5.525889906165881,DiagonalScanPath_6,Diagonal,6,evaluation,Previous censored representation,top_1pct
25,5.179413415043111,3.84997207094485,-2.620128286357012,0.9667419797659629,0.32,3.6262786093884074,1.0,0.0,3.080121843478152,5.962812928577759,4.309863427171955,3.5253005740023178,0.68,3.397738199080507,DiagonalScanPath_6,Diagonal,6,evaluation,Current sequential advective ST,top_1pct
25,11.244151627738665,6.48878339049611,-6.48878339049611,0.5095366944923402,0.04,1.8241682738596956,1.0,0.0,13.028153430340566,21.008492814750355,13.028153430340566,8.385007045726423,0.96,6.20293555629781,DiagonalScanPath_7,Diagonal,7,evaluation,Previous censored representation,top_1pct
25,5.401196660336738,4.351261953120809,-3.5745505070536208,0.7920835400028058,0.04,2.975623961802248,1.0,0.0,4.513494188290644,6.642122091278675,5.411103044597613,4.04956817608143,0.96,3.899786630255795,DiagonalScanPath_7,Diagonal,7,evaluation,Current sequential advective ST,top_1pct
25,10.745859489892238,6.068553268399301,-6.068553268399301,0.9669012252591639,0.28,3.105062799253003,1.0,0.0,7.222415256064253,11.935174263085036,7.222415256064253,4.6863967822367885,0.72,5.625951050357287,DiagonalScanPath_8,Diagonal,8,development,Previous censored representation,top_1pct
25,5.346103860943078,3.905669370877124,-3.1783510437652036,1.0222052389458205,0.4,3.9459056588079964,1.0,0.0,3.4971196035126866,5.641762106653621,4.027943659511185,2.9456541756027765,0.6,3.472881961653149,DiagonalScanPath_8,Diagonal,8,development,Current sequential advective ST,top_1pct
25,9.503940552084671,5.002200391749323,-5.002200391749323,0.6599614955047397,0.4,2.4193832068740404,1.0,0.0,8.377128618776021,16.818281015220787,8.377128618776021,3.3227824880114065,0.72,4.702242578688454,HorizontalScanPath_1,Horizontal,1,evaluation,Previous censored representation,top_1pct
25,4.16866355250093,2.758338910757368,-2.758338910757368,0.9446665432631736,0.52,3.55866272703307,1.0,0.0,2.954276380374417,4.512084716851711,2.954276380374417,1.741789257687323,0.48,2.3641109011317214,HorizontalScanPath_1,Horizontal,1,evaluation,Current sequential advective ST,top_1pct
25,9.439993473305066,5.163848859578691,-5.0879350629954185,0.6925224782880897,0.32,2.323402282136251,1.0,0.0,12.370485288255638,28.302650198353877,12.42664612651173,4.517741680353865,0.72,4.892159367091506,HorizontalScanPath_2,Horizontal,2,evaluation,Previous censored representation,top_1pct
25,4.421856286394317,2.9993299003998777,-2.9095575150436956,0.9911928975425941,0.52,3.7868353249628695,1.0,0.0,3.3635944699665936,5.319023010158412,3.424072766008729,1.935727267408188,0.44,2.600336487208846,HorizontalScanPath_2,Horizontal,2,evaluation,Current sequential advective ST,top_1pct
