trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
SpiralScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.712687442949365,1.6368679535644781,-0.777119486178157,1.3121954941201257,0.9078947368421053,9.044081010680616,2.384389721133357
SpiralScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.459164237991964,3.3552068217562954,-2.649680255680323,2.5429973926692204,0.7307692307692307,9.40402475156351,2.500751803129861
SpiralScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5292572921391295,0.2010201357038324,0.019347699314310653,0.5519766894062765,0.9972011195521792,8.475153535165168,2.2151057040853814
SpiralScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.7325556602413785,1.643867622249487,-0.6768320669112493,1.3359340159714832,0.9078947368421053,9.197144203741468,2.4029088661148594
SpiralScanPath_11,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.466715985542608,3.3700558269243945,-2.703380028951957,2.540253515289713,0.7307692307692307,9.62590529269676,2.513152541607022
SpiralScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5456687870318819,0.21858826712609805,0.031136147743357614,0.5538441767337465,0.9968012794882047,8.473446338080143,2.214796052401073
SpiralScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.6798753339871646,1.5460849639395864,-0.8196000866604308,1.290864142888861,0.9078947368421053,9.105129545054979,2.3676546056400496
SpiralScanPath_12,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.461074172305181,3.361230725950568,-2.7014976800277193,2.569461245616909,0.7307692307692307,9.567848866409731,2.501193039587016
SpiralScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5069821378598146,0.20289671862305717,-0.022645918723325043,0.5531071841684085,0.9976009596161536,8.521100716191482,2.2303554138680983
SpiralScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.5931947722381503,1.6104778862863671,-0.8517621440894331,1.2919342863859917,0.9210526315789473,9.167294922282938,2.403803604321002
SpiralScanPath_13,calibration,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.251984574459078,3.3334524161466956,-2.8706249901808643,2.478803804624881,0.7692307692307693,9.613256755545148,2.511600741904654
